description,year,stat
Very fast,2023,17
Fast,2023,34
Adequate,2023,40
Slow,2023,6
Very slow,2023,2
Don't know or prefer not to say,2023,1
Very fast,2020,13
Fast,2020,34
Adequate,2020,43
Slow,2020,7
Very slow,2020,2
Don't know or prefer not to say,2020,1
