description,year,stat
Using mobile data,2023,68
At someone else's home,2023,51
At work,2023,49
At a business,2023,47
At a public library,2023,22
At school,2023,19
At another public location ,2023,46
At work,2020,48
At a public library,2020,17
At a business,2020,42
At someone else's home,2020,50
Using mobile data,2020,65
At school,2020,17
At another public location ,2020,38
