description,year,stat
Less than 20 Mbps,2023,10
20 to less than 50 Mbps,2023,16
50 to less than 100 Mbps,2023,25
100 or more Mbps,2023,49
Less than 20 Mbps,2020,17
20 to less than 50 Mbps,2020,22
50 to less than 100 Mbps,2020,25
100 or more Mbps,2020,36
